	grad_6				
t	x	y	r	θ	
12.300	40.78	3.215	40.91	4.508
12.333	40.76	3.522	40.91	4.939
12.367	40.73	3.622	40.89	5.081
12.400	40.73	3.625	40.89	5.086
12.433	40.70	3.486	40.85	4.895
12.467	40.71	3.193	40.84	4.485
12.500	40.71	2.772	40.81	3.895
12.533	40.72	2.239	40.78	3.147
12.567	40.73	1.626	40.76	2.287
12.600	40.73	0.931	40.75	1.309
12.633	40.73	0.201	40.73	0.282
12.667	40.72	-0.530	40.72	-0.745
12.700	40.70	-1.281	40.72	-1.803
12.733	40.66	-1.984	40.71	-2.793
12.767	40.64	-2.576	40.72	-3.627
12.800	40.60	-3.143	40.72	-4.426
12.833	40.58	-3.583	40.74	-5.046
12.867	40.57	-3.935	40.76	-5.541
12.900	40.57	-4.205	40.78	-5.918
12.933	40.58	-4.287	40.80	-6.030
12.967	40.61	-4.249	40.83	-5.973

